sample;annotation
aa;[(0, 2, 'O')]
aala;[(0, 4, 'O')]
aarcca;[(0, 6, 'O')]
abon;[(0, 4, 'O')]
abso;[(0, 4, 'B-BRAND')]
abtoys игруш;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
abtoys игрушк;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
abtoys игрушки;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
acofe;[(0, 5, 'O')]
actimal;[(0, 7, 'B-BRAND')]
actimel;[(0, 7, 'B-BRAND')]
actimeuno;[(0, 9, 'B-BRAND')]
actimino;[(0, 8, 'B-BRAND')]
actimun;[(0, 7, 'B-BRAND')]
actimunno;[(0, 9, 'B-BRAND')]
activ;[(0, 5, 'B-BRAND')]
activa;[(0, 6, 'B-BRAND')]
active;[(0, 6, 'B-BRAND')]
adremaine;[(0, 9, 'B-BRAND')]
adren;[(0, 5, 'B-BRAND')]
adrena;[(0, 6, 'B-BRAND')]
adrenali;[(0, 8, 'B-BRAND')]
adrinalin;[(0, 9, 'B-BRAND')]
adrinaline;[(0, 10, 'B-BRAND')]
afanasiy пи;[(0, 8, 'B-BRAND'), (9, 11, 'B-TYPE')]
afanasiy пив;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
afanasiy пиво;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
agama треск;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
agama треска;[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
agata;[(0, 5, 'B-BRAND')]
agnesi пше;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
agnesi пшен;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
ahma;[(0, 4, 'B-BRAND')]
ahmad;[(0, 5, 'B-BRAND')]
ahmad tea;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
ailtero;[(0, 7, 'B-BRAND')]
airw;[(0, 4, 'B-BRAND')]
akba;[(0, 4, 'B-BRAND')]
akmad;[(0, 5, 'B-BRAND')]
aktime;[(0, 6, 'B-BRAND')]
aktimel;[(0, 7, 'B-BRAND')]
aktimuno;[(0, 8, 'B-BRAND')]
albeni;[(0, 6, 'B-BRAND')]
albenia;[(0, 7, 'B-BRAND')]
alen;[(0, 4, 'B-BRAND')]
alie;[(0, 4, 'B-BRAND')]
allen;[(0, 5, 'B-BRAND')]
almak;[(0, 5, 'B-BRAND')]
alme;[(0, 4, 'B-BRAND')]
almeta;[(0, 6, 'B-BRAND')]
almeto;[(0, 6, 'B-BRAND')]
almett;[(0, 6, 'B-BRAND')]
almetta;[(0, 7, 'B-BRAND')]
almette;[(0, 7, 'B-BRAND')]
almond;[(0, 6, 'B-TYPE')]
aloe;[(0, 4, 'B-TYPE')]
alp;[(0, 3, 'B-BRAND')]
alpe;[(0, 4, 'B-BRAND')]
alpeland;[(0, 8, 'B-BRAND')]
alpen;[(0, 5, 'B-BRAND')]
alpen gold max;[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'I-BRAND')]
alpen gold max fun;[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'I-BRAND'), (15, 18, 'I-BRAND')]
alpeni;[(0, 6, 'B-BRAND')]
alpenl;[(0, 6, 'B-BRAND')]
alpenla;[(0, 7, 'B-BRAND')]
alpenland;[(0, 9, 'B-BRAND')]
alphapet;[(0, 8, 'B-BRAND')]
alpin gold he;[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 13, 'O')]
alte;[(0, 4, 'B-BRAND')]
altera;[(0, 6, 'B-BRAND')]
altero;[(0, 6, 'B-BRAND')]
always;[(0, 6, 'B-BRAND')]
